listing_id,donor_id,donor_type,food_type,quantity,unit,city,packaging,time_posted,time_since_cooked_mins,donor_reliability,distance_km,ambient_temp_c,freshness_score,pickup_prob,picked_up
L00077,D0274,Event,Desserts,13.1,boxes,Bengaluru,Airtight,2025-09-02 08:13:00,137,Low,9.19,27.2,0.36,0.569,0
L00078,D0719,HomeCook,Cooked Meal,10.5,plates,Delhi,Airtight,2025-09-05 20:47:00,9,High,6.14,30.9,0.789,0.917,1
L00079,D0624,Bakery,Cooked Meal,1.5,kg,Mumbai,Covered Tray,2025-09-08 02:40:00,92,High,9.12,34.8,0.49,0.634,0
L00080,D0651,Caterer,Desserts,1.4,plates,Delhi,Airtight,2025-09-02 03:19:00,97,Low,1.29,31.0,0.512,0.572,1
L00081,D0176,Society,Cooked Meal,12.0,boxes,Hyderabad,Covered Tray,2025-09-04 05:39:00,43,Low,2.54,31.6,0.423,0.552,1
L00082,D0547,Society,Cooked Meal,1.7,plates,Mumbai,Open Tray,2025-09-05 02:40:00,37,Medium,7.23,27.6,0.356,0.519,0
L00083,D0747,Event,Cooked Meal,7.4,kg,Mumbai,Open Tray,2025-09-01 09:58:00,211,Medium,2.04,26.4,0.188,0.415,0
L00084,D0251,Restaurant,Cooked Meal,0.9,boxes,Chennai,Cloth Wrap,2025-09-01 12:23:00,157,High,10.19,29.0,0.227,0.391,0
L00085,D0168,Restaurant,Cooked Meal,10.1,boxes,Hyderabad,Airtight,2025-09-04 00:42:00,34,Medium,2.73,32.5,0.719,0.76,1
L00086,D0389,HomeCook,Cooked Meal,3.9,packs,Pune,Airtight,2025-09-01 11:46:00,72,Low,11.51,22.0,0.431,0.53,0
L00087,D0277,Restaurant,Cooked Meal,0.5,plates,Bengaluru,Covered Tray,2025-09-01 21:13:00,40,Low,6.27,25.7,0.481,0.481,0
L00088,D0225,Restaurant,Cooked Meal,5.7,boxes,Pune,Cloth Wrap,2025-09-03 22:59:00,207,Medium,6.03,29.7,0.133,0.387,1
L00089,D0702,HomeCook,Cooked Meal,3.3,packs,Hyderabad,Open Tray,2025-09-04 09:45:00,151,Low,5.37,27.3,0.242,0.461,0
L00090,D0333,Restaurant,Salads,15.1,kg,Delhi,Sealed Box,2025-09-03 04:09:00,31,Medium,0.2,32.3,0.583,0.723,1
L00091,D0787,Caterer,Salads,4.0,boxes,Mumbai,Sealed Box,2025-09-02 15:46:00,191,Medium,3.16,27.5,0.328,0.426,0
L00092,D0795,HomeCook,Desserts,2.8,packs,Delhi,Airtight,2025-09-01 08:03:00,153,Medium,7.02,22.7,0.375,0.523,1
L00093,D0058,Restaurant,Cooked Meal,1.1,plates,Hyderabad,Airtight,2025-09-08 00:55:00,157,Medium,3.9,31.3,0.444,0.687,1
L00094,D0235,HomeCook,Cooked Meal,2.5,packs,Mumbai,Covered Tray,2025-09-04 13:44:00,110,Medium,0.2,24.4,0.514,0.602,1
L00095,D0033,Society,Cooked Meal,4.6,boxes,Hyderabad,Open Tray,2025-09-02 18:56:00,47,Medium,4.43,29.0,0.36,0.591,0
L00096,D0324,Restaurant,Salads,1.9,packs,Mumbai,Sealed Box,2025-09-01 07:27:00,198,Medium,0.2,33.0,0.245,0.391,0
L00097,D0411,Bakery,Cooked Meal,3.0,packs,Pune,Airtight,2025-09-02 12:50:00,125,Medium,5.46,25.1,0.426,0.461,0
L00098,D0275,Society,Baked Goods,3.0,plates,Pune,Airtight,2025-09-01 12:56:00,162,Medium,5.19,26.6,0.373,0.46,0
L00099,D0068,Restaurant,Fruits,0.5,boxes,Hyderabad,Cloth Wrap,2025-09-08 06:47:00,144,Medium,6.39,22.5,0.312,0.406,1
L00100,D0217,Restaurant,Baked Goods,1.1,plates,Mumbai,Airtight,2025-09-04 00:37:00,114,Low,8.22,25.4,0.362,0.498,1
L00101,D0581,Restaurant,Desserts,10.0,kg,Hyderabad,Airtight,2025-09-04 14:21:00,100,High,8.01,30.7,0.576,0.583,1
L00102,D0736,HomeCook,Cooked Meal,10.1,kg,Chennai,Sealed Box,2025-09-03 00:51:00,146,High,4.02,31.7,0.503,0.551,0
L00103,D0323,Society,Baked Goods,2.9,plates,Bengaluru,Airtight,2025-09-02 22:19:00,13,Medium,0.2,26.9,0.67,0.654,1
L00104,D0218,Restaurant,Salads,5.5,boxes,Mumbai,Open Tray,2025-09-02 06:53:00,10,High,0.2,36.8,0.365,0.442,0
L00105,D0672,Caterer,Salads,7.2,boxes,Pune,Covered Tray,2025-09-07 18:38:00,74,High,6.57,27.1,0.402,0.47,1
L00106,D0512,Restaurant,Baked Goods,3.9,packs,Mumbai,Covered Tray,2025-09-03 21:57:00,84,Medium,1.07,28.6,0.504,0.546,1
L00107,D0406,Caterer,Baked Goods,0.6,boxes,Chennai,Airtight,2025-09-08 03:44:00,173,Medium,4.7,28.9,0.347,0.472,0
L00108,D0659,Society,Cooked Meal,1.2,boxes,Mumbai,Open Tray,2025-09-06 05:09:00,122,High,0.2,30.1,0.388,0.47,0
L00109,D0470,HomeCook,Baked Goods,7.3,boxes,Bengaluru,Open Tray,2025-09-01 15:18:00,120,Medium,3.56,25.1,0.289,0.441,1
L00110,D0147,HomeCook,Cooked Meal,5.0,kg,Pune,Airtight,2025-09-01 23:02:00,45,Medium,2.53,35.3,0.724,0.696,1
L00111,D0272,Restaurant,Baked Goods,4.6,boxes,Mumbai,Sealed Box,2025-09-04 09:03:00,138,Medium,0.2,23.8,0.409,0.614,1
L00112,D0143,Society,Salads,0.5,packs,Chennai,Airtight,2025-09-03 03:55:00,20,Medium,4.01,25.2,0.502,0.492,0
L00113,D0763,Bakery,Cooked Meal,4.3,boxes,Hyderabad,Cloth Wrap,2025-09-03 09:23:00,49,Medium,7.09,33.3,0.291,0.47,1
L00114,D0575,Restaurant,Beverage,0.5,packs,Hyderabad,Airtight,2025-09-03 14:40:00,113,Low,8.25,27.0,0.417,0.57,1
L00115,D0552,Restaurant,Cooked Meal,0.6,plates,Mumbai,Open Tray,2025-09-02 06:58:00,16,Medium,2.13,28.2,0.469,0.579,1
L00116,D0270,HomeCook,Cooked Meal,3.5,kg,Mumbai,Covered Tray,2025-09-03 08:26:00,58,Medium,12.1,30.3,0.427,0.539,0
L00117,D0765,Restaurant,Cooked Meal,0.8,plates,Mumbai,Cloth Wrap,2025-09-03 01:33:00,97,Medium,7.84,31.9,0.202,0.372,0
L00118,D0599,Society,Salads,0.6,kg,Mumbai,Covered Tray,2025-09-01 20:14:00,145,Low,3.35,29.7,0.268,0.451,0
L00119,D0439,Restaurant,Desserts,0.5,plates,Pune,Covered Tray,2025-09-02 05:41:00,158,Low,0.2,28.4,0.276,0.451,1
L00120,D0598,Bakery,Cooked Meal,0.5,packs,Pune,Airtight,2025-09-01 16:47:00,172,Medium,11.08,32.6,0.307,0.422,1
L00121,D0409,Restaurant,Salads,9.4,boxes,Chennai,Sealed Box,2025-09-02 12:52:00,59,Medium,0.32,31.1,0.52,0.6,1
L00122,D0371,Restaurant,Baked Goods,0.7,plates,Chennai,Airtight,2025-09-01 07:36:00,19,Low,4.94,31.6,0.548,0.531,1
L00123,D0142,Society,Cooked Meal,3.3,packs,Mumbai,Open Tray,2025-09-04 01:50:00,37,Medium,3.22,34.1,0.402,0.497,0
L00124,D0506,Bakery,Cooked Meal,9.2,boxes,Hyderabad,Sealed Box,2025-09-04 22:11:00,152,Medium,1.21,22.2,0.445,0.56,1
L00125,D0094,Society,Cooked Meal,22.2,plates,Chennai,Airtight,2025-09-01 08:56:00,137,High,9.91,21.6,0.453,0.658,0
L00126,D0774,Event,Baked Goods,2.2,boxes,Chennai,Covered Tray,2025-09-04 23:45:00,88,Low,1.81,28.8,0.423,0.514,0
L00127,D0049,Restaurant,Beverage,5.5,plates,Bengaluru,Airtight,2025-09-01 22:06:00,147,Medium,4.79,28.6,0.425,0.551,0
L00128,D0113,Caterer,Salads,0.9,boxes,Bengaluru,Sealed Box,2025-09-01 19:43:00,29,Medium,0.2,23.9,0.565,0.636,1
L00129,D0157,Restaurant,Cooked Meal,10.9,packs,Chennai,Airtight,2025-09-04 19:37:00,79,High,6.13,33.0,0.612,0.741,1
L00130,D0643,Restaurant,Fruits,20.9,boxes,Hyderabad,Airtight,2025-09-01 16:00:00,134,Low,8.25,30.6,0.374,0.518,0
L00131,D0164,HomeCook,Fruits,4.5,packs,Delhi,Airtight,2025-09-03 00:37:00,135,Medium,6.52,27.0,0.479,0.567,1
L00132,D0697,HomeCook,Beverage,0.5,packs,Mumbai,Covered Tray,2025-09-02 01:37:00,88,High,6.73,32.8,0.498,0.653,1
L00133,D0433,Caterer,Desserts,9.2,packs,Bengaluru,Airtight,2025-09-04 04:13:00,136,High,9.49,28.5,0.49,0.562,1
L00134,D0611,HomeCook,Baked Goods,1.2,boxes,Chennai,Covered Tray,2025-09-01 07:05:00,90,Low,3.34,25.7,0.409,0.486,0
L00135,D0066,HomeCook,Cooked Meal,1.3,packs,Hyderabad,Airtight,2025-09-02 16:20:00,186,Low,11.25,31.7,0.21,0.423,0
L00136,D0395,Event,Cooked Meal,8.7,plates,Chennai,Airtight,2025-09-02 02:53:00,40,Medium,4.67,29.3,0.698,0.749,0
L00137,D0391,Event,Salads,2.7,packs,Hyderabad,Sealed Box,2025-09-01 13:17:00,158,Medium,3.78,34.3,0.357,0.478,1
L00138,D0611,Restaurant,Cooked Meal,8.9,kg,Pune,Covered Tray,2025-09-02 00:44:00,22,High,3.14,25.0,0.689,0.694,1
L00139,D0480,Caterer,Cooked Meal,0.5,plates,Mumbai,Sealed Box,2025-09-04 10:45:00,62,Medium,3.62,29.3,0.615,0.611,0
L00140,D0542,Event,Cooked Meal,2.8,kg,Chennai,Airtight,2025-09-01 15:30:00,32,High,5.52,28.3,0.671,0.731,1
L00141,D0258,Society,Cooked Meal,1.4,packs,Delhi,Cloth Wrap,2025-09-03 00:04:00,40,High,2.88,26.3,0.394,0.452,0
L00142,D0012,HomeCook,Cooked Meal,0.6,boxes,Chennai,Airtight,2025-09-01 21:26:00,234,High,9.07,36.0,0.249,0.42,0
L00143,D0697,Caterer,Cooked Meal,3.1,kg,Mumbai,Airtight,2025-09-07 08:39:00,116,Medium,8.62,34.3,0.423,0.521,1
L00144,D0739,Society,Cooked Meal,0.5,plates,Bengaluru,Airtight,2025-09-01 21:57:00,94,Low,9.65,26.9,0.359,0.485,0
L00145,D0118,Society,Desserts,1.4,kg,Mumbai,Sealed Box,2025-09-02 23:49:00,36,Medium,5.46,27.4,0.571,0.596,1
L00146,D0699,Bakery,Cooked Meal,2.9,plates,Hyderabad,Covered Tray,2025-09-01 23:55:00,162,High,12.49,31.9,0.302,0.525,0
L00147,D0550,Caterer,Cooked Meal,6.0,packs,Mumbai,Open Tray,2025-09-05 08:18:00,74,High,6.93,28.4,0.357,0.489,1
L00148,D0769,HomeCook,Cooked Meal,10.7,packs,Delhi,Covered Tray,2025-09-08 09:45:00,115,Medium,0.75,30.3,0.456,0.661,1
L00149,D0274,Restaurant,Fruits,3.7,kg,Hyderabad,Sealed Box,2025-09-01 11:08:00,41,High,7.39,30.2,0.721,0.681,1
L00150,D0788,Society,Cooked Meal,2.2,boxes,Pune,Sealed Box,2025-09-02 03:24:00,158,Low,8.36,30.3,0.292,0.418,1
L00151,D0657,Restaurant,Cooked Meal,6.9,kg,Pune,Covered Tray,2025-09-04 17:02:00,61,Low,7.67,28.0,0.412,0.501,0
L00152,D0349,Event,Cooked Meal,0.5,plates,Hyderabad,Sealed Box,2025-09-01 19:08:00,120,Medium,10.83,27.5,0.396,0.53,0
L00153,D0115,Restaurant,Desserts,5.3,boxes,Delhi,Airtight,2025-09-01 16:15:00,23,Low,0.2,27.0,0.62,0.742,1
L00154,D0446,Restaurant,Cooked Meal,0.5,boxes,Pune,Sealed Box,2025-09-02 00:16:00,67,High,7.96,31.3,0.557,0.654,0
L00155,D0162,Restaurant,Desserts,0.6,boxes,Chennai,Covered Tray,2025-09-01 12:04:00,34,Medium,3.81,26.6,0.544,0.647,0
L00156,D0004,Restaurant,Cooked Meal,1.4,kg,Pune,Open Tray,2025-09-01 22:35:00,192,High,12.44,31.0,0.165,0.333,0
L00157,D0740,HomeCook,Fruits,0.5,plates,Bengaluru,Airtight,2025-09-07 18:58:00,22,Medium,4.56,28.8,0.719,0.715,0
L00158,D0737,HomeCook,Salads,0.7,packs,Pune,Sealed Box,2025-09-08 15:37:00,128,Medium,4.17,23.7,0.381,0.494,1
L00159,D0270,Restaurant,Salads,11.9,plates,Hyderabad,Open Tray,2025-09-02 12:56:00,227,Medium,2.97,24.2,0.052,0.414,0
L00160,D0513,Restaurant,Desserts,9.3,kg,Mumbai,Open Tray,2025-09-02 11:51:00,231,Low,2.97,27.7,0.161,0.394,1
L00161,D0781,Society,Fruits,10.6,plates,Bengaluru,Airtight,2025-09-03 15:15:00,86,High,2.64,28.2,0.651,0.763,1
L00162,D0183,Restaurant,Salads,1.8,boxes,Hyderabad,Sealed Box,2025-09-01 07:04:00,110,Medium,5.58,27.2,0.348,0.495,1
L00163,D0520,Caterer,Cooked Meal,0.6,packs,Hyderabad,Sealed Box,2025-09-02 08:53:00,158,Medium,1.75,32.7,0.456,0.563,1
L00164,D0109,Restaurant,Cooked Meal,0.8,plates,Hyderabad,Covered Tray,2025-09-04 02:32:00,144,Medium,7.24,31.6,0.28,0.51,1
L00165,D0641,Bakery,Desserts,8.3,plates,Bengaluru,Covered Tray,2025-09-03 11:49:00,118,Medium,8.38,25.4,0.413,0.624,1
L00166,D0306,Society,Baked Goods,9.7,plates,Bengaluru,Open Tray,2025-09-02 02:11:00,49,Medium,10.22,24.6,0.346,0.583,1
L00167,D0655,Restaurant,Cooked Meal,0.8,packs,Bengaluru,Open Tray,2025-09-01 15:23:00,92,Medium,4.35,27.5,0.324,0.399,0
L00168,D0520,HomeCook,Cooked Meal,1.2,packs,Pune,Open Tray,2025-09-03 17:16:00,41,Low,3.1,29.6,0.353,0.483,1
L00169,D0624,Restaurant,Cooked Meal,2.5,boxes,Delhi,Airtight,2025-09-04 05:34:00,17,High,3.58,31.9,0.786,0.818,0
L00170,D0157,Restaurant,Beverage,2.5,kg,Pune,Covered Tray,2025-09-01 15:22:00,112,Medium,11.29,29.8,0.381,0.575,1
L00171,D0383,Restaurant,Cooked Meal,0.5,boxes,Hyderabad,Airtight,2025-09-04 23:48:00,15,Medium,5.67,28.3,0.705,0.721,1
L00172,D0781,Restaurant,Baked Goods,3.1,plates,Chennai,Airtight,2025-09-05 06:42:00,141,High,11.66,33.5,0.379,0.398,1
L00173,D0166,HomeCook,Fruits,0.5,packs,Hyderabad,Open Tray,2025-09-01 08:45:00,35,High,5.12,23.9,0.46,0.721,1
L00174,D0553,Bakery,Salads,12.6,plates,Mumbai,Covered Tray,2025-09-05 23:25:00,15,Medium,13.44,26.4,0.414,0.603,1
L00175,D0798,Event,Cooked Meal,0.5,kg,Bengaluru,Airtight,2025-09-01 20:44:00,23,Low,1.6,32.5,0.635,0.665,1
L00176,D0544,HomeCook,Baked Goods,2.0,plates,Pune,Cloth Wrap,2025-09-01 07:26:00,154,High,8.81,30.3,0.222,0.432,0
L00177,D0001,Restaurant,Baked Goods,7.3,packs,Bengaluru,Sealed Box,2025-09-05 04:30:00,43,Medium,5.85,29.2,0.543,0.598,1
L00178,D0614,Restaurant,Baked Goods,14.8,boxes,Chennai,Cloth Wrap,2025-09-02 19:58:00,81,Medium,5.0,26.9,0.287,0.563,1
L00179,D0332,Restaurant,Cooked Meal,1.7,packs,Mumbai,Airtight,2025-09-04 16:21:00,80,High,7.8,28.5,0.531,0.651,0
L00180,D0501,HomeCook,Cooked Meal,5.2,boxes,Bengaluru,Covered Tray,2025-09-05 11:50:00,15,Medium,5.88,33.7,0.595,0.779,1
L00181,D0020,Restaurant,Cooked Meal,1.7,boxes,Hyderabad,Airtight,2025-09-04 09:39:00,88,Medium,0.2,30.3,0.581,0.601,1
L00182,D0115,HomeCook,Cooked Meal,9.1,kg,Pune,Airtight,2025-09-04 02:31:00,90,Medium,3.91,26.9,0.582,0.628,1
L00183,D0372,Society,Desserts,2.8,kg,Pune,Open Tray,2025-09-08 05:19:00,105,Medium,2.67,33.8,0.286,0.469,0
